iter	Passed	Remaining
769	1619	483
770	1621	481
771	1622	479
772	1630	478
773	1631	476
774	1634	474
775	1636	472
776	1643	471
777	1646	469
778	1648	467
779	1649	465
780	1650	462
781	1653	460
782	1655	458
783	1657	456
784	1659	454
785	1661	452
786	1662	450
787	1666	448
788	1669	446
789	1671	444
790	1672	441
791	1674	439
792	1675	437
793	1677	435
794	1683	434
795	1685	431
796	1687	429
797	1689	427
798	1690	425
799	1691	422
800	1693	420
801	1698	419
802	1700	417
803	1701	414
804	1702	412
805	1703	410
806	1705	407
807	1706	405
808	1708	403
809	1711	401
810	1713	399
811	1715	397
812	1716	394
813	1717	392
814	1718	390
815	1720	387
816	1721	385
817	1722	383
818	1726	381
819	1728	379
820	1729	377
821	1731	374
822	1733	372
823	1734	370
824	1735	368
825	1736	365
826	1738	363
827	1741	361
828	1742	359
829	1744	357
830	1745	354
831	1746	352
832	1747	350
833	1748	348
834	1750	345
835	1752	343
836	1753	341
837	1755	339
838	1756	337
839	1758	334
840	1759	332
841	1760	330
842	1762	328
843	1763	325
844	1764	323
845	1765	321
846	1768	319
847	1769	317
848	1771	315
849	1772	312
850	1774	310
851	1775	308
852	1777	306
853	1778	304
854	1779	301
855	1780	299
856	1783	297
857	1785	295
858	1786	293
859	1787	291
860	1789	288
861	1790	286
862	1791	284
863	1793	282
864	1794	280
865	1795	277
866	1798	275
867	1799	273
868	1801	271
869	1803	269
870	1804	267
871	1805	265
872	1806	262
873	1808	260
874	1809	258
875	1811	256
876	1814	254
877	1815	252
878	1816	250
879	1817	247
880	1819	245
881	1821	243
882	1822	241
883	1823	239
884	1824	237
885	1827	235
886	1830	233
887	1832	231
888	1834	229
889	1835	226
890	1837	224
891	1839	222
892	1844	221
893	1846	218
894	1848	216
895	1850	214
896	1851	212
897	1860	211
898	1862	209
899	1865	207
900	1866	205
901	1868	202
902	1869	200
903	1876	199
904	1879	197
905	1880	195
906	1882	193
907	1884	190
908	1894	189
909	1895	187
910	1898	185
911	1900	183
912	1905	181
913	1907	179
914	1909	177
915	1912	175
916	1913	173
917	1918	171
918	1920	169
919	1922	167
920	1925	165
921	1927	163
922	1928	160
923	1930	158
924	1933	156
925	1935	154
926	1937	152
927	1938	150
928	1940	148
929	1941	146
930	1943	144
931	1945	141
932	1947	139
933	1949	137
934	1950	135
935	1953	133
936	1954	131
937	1956	129
938	1962	127
939	1964	125
940	1966	123
941	1968	121
942	1970	119
943	1971	116
944	1973	114
945	1977	112
946	1982	110
947	1984	108
948	1985	106
949	1986	104
950	1992	102
951	1994	100
952	1996	98
953	1997	96
954	1999	94
955	2000	92
956	2001	89
957	2005	87
958	2007	85
959	2009	83
960	2010	81
961	2011	79
962	2012	77
963	2014	75
964	2016	73
965	2017	71
966	2019	68
967	2022	66
968	2023	64
969	2024	62
970	2026	60
971	2027	58
972	2028	56
973	2029	54
974	2031	52
975	2035	50
976	2036	47
977	2038	45
978	2039	43
979	2041	41
980	2042	39
981	2043	37
982	2044	35
983	2046	33
984	2049	31
985	2051	29
986	2052	27
987	2054	24
988	2055	22
989	2057	20
990	2058	18
991	2059	16
992	2061	14
993	2063	12
994	2065	10
995	2066	8
996	2068	6
997	2069	4
998	2070	2
999	2072	0
